ent_num,query,region,country
15000,-0- ,-0- ,Mexico
15002,"Calle Sierra Madre Occidental No. 1280, Colonia Canadas","Culiacan, Sinaloa 8000",Mexico
36,-0- ,Havana,Cuba
173,"Ibex House, The Minories",London EC3N 1DY,United Kingdom
306,Zweierstrasse 35,Zurich CH-8022,Switzerland
306,Avenida de Concha Espina 8,Madrid E-28036,Spain
306,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",Tokyo 103,Japan
306,Federico Boyd Avenue & 51 Street,Panama City,Panama
424,42 Via Brasil,Panama City,Panama
475,-0- ,-0- ,Spain
475,-0- ,-0- ,Mexico
480,-0- ,Panama City,Panama
535,Emerson No. 148 Piso 7,"Mexico, D.F. 11570",Mexico
536,-0- ,-0- ,Spain
537,-0- ,-0- ,Panama
540,-0- ,-0- ,Spain
551,-0- ,-0- ,Panama
552,Jose Lazaro Galdeano 6-6,Madrid 28016,Spain
555,-0- ,Paris,France
559,-0- ,-0- ,Spain
576,-0- ,-0- ,Panama
578,-0- ,Milan,Italy
587,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",Tokyo 103,Japan
589,-0- ,Buenos Aires,Argentina
590,-0- ,Cancun,Mexico
591,-0- ,-0- ,Spain
592,-0- ,-0- ,Spain
593,-0- ,-0- ,Italy
621,"Baja California 255, Edificio B. Oficina 103, Condesa","Mexico, D.F. 06500",Mexico
622,-0- ,-0- ,Spain
636,"1649 Adolfo Prieto, Colonia del Valle",Mexico City,Mexico
651,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",Geneva,Switzerland
701,-0- ,-0- ,Spain
702,-0- ,-0- ,Panama
735,32 Main Street,Georgetown,Guyana
735,24 Rue Du Quatre Septembre,Paris,France
735,Belas Airport,Luanda,Angola
735,"Dobrininskaya No. 7, Sec 5",Moscow,Russia
735,Corrientes 545 Primer Piso,Buenos Aires,Argentina
735,Frankfurter TOR 8-A,Berlin,Germany
735,"1 Place Ville Marie, Suite 3431",Montreal,Canada
735,Parizska 17,Prague,Czech Republic
735,Paseo de la Republica 126,Lima,Peru
735,Piarco Airport,Port au Prince,Haiti
735,"c/o Anglo-Caribbean Shipping Co. Ltd., Ibex House, The Minories",London EC3N 1DY,United Kingdom
735,Norman Manley International Airport,Kingston,Jamaica
735,"Melchor Ocampo 469, 5DF",Mexico City,Mexico
735,Calle 29 y Avda Justo Arosemena,Panama City,Panama
735,"Grantley Adams Airport, Christ Church",-0- ,Barbados
735,-0- ,Madrid,Spain
751,-0- ,Paris,France
751,-0- ,Milan,Italy
751,-0- ,Moscow,Russia
751,-0- ,Madrid,Spain
751,-0- ,Cologne,Germany
751,Downsview,Ontario,Canada
751,-0- ,Tokyo,Japan
758,-0- ,Buenos Aires,Argentina
767,"Devonshire House, 1 Devonshire Street",London,United Kingdom
768,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",Tokyo,Japan
815,5250 Ferrier Street,"Montreal, Quebec",Canada
899,"Vinales Tours, Oaxaca 80, Roma","Mexico, D.F.",Mexico
906,20 Ironmonger Lane,London EC2V 8EY,United Kingdom
907,54 Rue Richelieu,Paris,France
1042,-0- ,-0- ,Spain
1043,-0- ,-0- ,Panama
1241,-0- ,-0- ,Panama
1287,-0- ,Pyongyang,"Korea, North"
1287,-0- ,Moscow,Russia
1287,-0- ,Barcelona,Spain
1287,-0- ,Rostock,Germany
1287,-0- ,Genoa,Italy
1287,-0- ,Syczecin,Poland
1287,-0- ,Rotterdam,Netherlands
1287,-0- ,-0- ,Mexico
1287,-0- ,Buenos Aires,Argentina
1287,-0- ,Montreal,Canada
1287,-0- ,Varna,Bulgaria
1316,"San Martin 323, Piso 14",Buenos Aires,Argentina
1555,Boezembolcht 23,Rotterdam,Netherlands
1570,-0- ,-0- ,Liechtenstein
1571,33 Akti Maouli,Pireas (Piraeus) 185-35,Greece
1572,-0- ,-0- ,Panama
1641,-0- ,-0- ,Panama
1660,-0- ,-0- ,Spain
1700,-0- ,-0- ,Mexico
1701,1010 O Rue Ste. Catherine,Montreal PQ H303 IGI,Canada
1702,-0- ,-0- ,Spain
1888,-0- ,-0- ,Panama
1910,-0- ,-0- ,Panama
2109,Edificio Saldivar,Panama City,Panama
